NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
kube-system          kube-proxy-lfht9                                                  1/1     Running     0               20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-proxy-nt289                                                  1/1     Running     4 (43h ago)     8d      10.252.1.14   ncn-w005   <none>           <none>
kube-system          kube-proxy-rllms                                                  1/1     Running     2 (30m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          kube-scheduler-ncn-m001                                           1/1     Running     2 (8d ago)      20d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          kube-scheduler-ncn-m002                                           1/1     Running     1 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          kube-scheduler-ncn-m003                                           1/1     Running     2 (30m ago)     12d     10.252.1.10   ncn-m003   <none>           <none>
kube-system          metrics-server-545fcf988f-mmgv4                                   1/1     Running     0               3d21h   10.44.0.64    ncn-w003   <none>           <none>
kube-system          node-problem-detector-4pwct                                       1/1     Running     0               20d     10.43.0.2     ncn-m001   <none>           <none>
kube-system          node-problem-detector-6rd8h                                       1/1     Running     1 (10d ago)     12d     10.36.0.11    ncn-w001   <none>           <none>
kube-system          node-problem-detector-8kzps                                       1/1     Running     2 (30m ago)     12d     10.32.0.6     ncn-m003   <none>           <none>
kube-system          node-problem-detector-gc29x                                       1/1     Running     1 (9d ago)      12d     10.34.0.6     ncn-w002   <none>           <none>
kube-system          node-problem-detector-jhtwl                                       1/1     Running     1 (8d ago)      12d     10.38.0.2     ncn-m002   <none>           <none>
kube-system          node-problem-detector-kntvd                                       1/1     Running     1 (7d23h ago)   12d     10.44.0.4     ncn-w003   <none>           <none>
kube-system          node-problem-detector-rr54n                                       1/1     Running     1 (3d20h ago)   12d     10.41.0.2     ncn-w004   <none>           <none>
kube-system          node-problem-detector-xmjz7                                       1/1     Running     4 (43h ago)     8d      10.46.0.20    ncn-w005   <none>           <none>
kube-system          sealed-secrets-685b8dc459-sv8d2                                   1/1     Running     0               3d21h   10.44.0.61    ncn-w003   <none>           <none>
kube-system          weave-net-7pbx9                                                   2/2     Running     3 (7d23h ago)   12d     10.252.1.7    ncn-w003   <none>           <none>
kube-system          weave-net-dgsml                                                   2/2     Running     11 (43h ago)    12d     10.252.1.14   ncn-w005   <none>           <none>
kube-system          weave-net-f27f9                                                   2/2     Running     2 (3d20h ago)   12d     10.252.1.13   ncn-w004   <none>           <none>
kube-system          weave-net-fcqnz                                                   2/2     Running     3 (8d ago)      12d     10.252.1.11   ncn-m002   <none>           <none>
kube-system          weave-net-ksz95                                                   2/2     Running     1 (20d ago)     20d     10.252.1.12   ncn-m001   <none>           <none>
