Timestamp: 2024-11-15 10:39:08
NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
operators            pod/strimzi-cluster-operator-569c45b5d-5nfx6                          1/1     Running     0               3d      10.41.0.65    ncn-w004   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-2wzb2                             2/2     Running     3 (3d22h ago)   3d22h   10.44.0.50    ncn-w003   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-mpg2w                             2/2     Running     0               26m     10.46.0.37    ncn-w005   <none>           <none>
pki-operator         pod/trustedcerts-operator-f546977cb-nlv7d                             2/2     Running     1 (9d ago)      9d      10.36.0.68    ncn-w001   <none>           <none>
services             pod/cfs-04a16ad5-71bd-4f45-8a03-58d2a87042c5-jcfzb                    0/4     Completed   0               38h     10.46.0.29    ncn-w005   <none>           <none>
services             pod/cfs-16d73c65-2316-43cd-a913-a158718bd6c9-zg6hd                    0/3     Completed   0               68m     10.46.0.11    ncn-w005   <none>           <none>
services             pod/cfs-1c779bf3-c99f-4dd1-a5fe-0ce104a6567a-vgwrk                    0/4     Completed   0               11h     10.46.0.11    ncn-w005   <none>           <none>
services             pod/cfs-2dd1e454-934e-40db-9bcb-ba743e863337-l5vnw                    0/4     Completed   0               42h     10.46.0.11    ncn-w005   <none>           <none>
services             pod/cfs-390b0d81-828a-438c-b673-f1d8bdbbbc5c-q2cwj                    0/4     Completed   0               36h     10.46.0.14    ncn-w005   <none>           <none>
services             pod/cfs-3c8946b8-65bf-4490-8a3f-b4294382916b-cfsvq                    0/3     Completed   0               7m52s   10.41.0.96    ncn-w004   <none>           <none>
services             pod/cfs-471a6305-5786-4408-bd9b-764db1211e93-74x67                    0/4     Completed   0               37h     10.46.0.11    ncn-w005   <none>           <none>
services             pod/cfs-5d7c1f99-aa10-4813-95c4-fd3e2800b8da-btrvq                    0/3     Completed   0               24h     10.46.0.15    ncn-w005   <none>           <none>
services             pod/cfs-5efc1116-6d11-4d22-859f-693a507c259d-dn646                    0/4     Completed   0               39h     10.46.0.16    ncn-w005   <none>           <none>
services             pod/cfs-6090a5ab-bc75-450e-80d7-a99d4554f5e3-gsnft                    0/3     Completed   0               44h     10.46.0.16    ncn-w005   <none>           <none>
services             pod/cfs-706afe9a-8338-4f74-8d46-3fcff592eb15-8dbs9                    0/4     Completed   0               15h     10.46.0.14    ncn-w005   <none>           <none>
services             pod/cfs-8490e47f-59af-4439-bfbd-517a35552c3e-l69hj                    0/4     Completed   0               18h     10.46.0.14    ncn-w005   <none>           <none>
services             pod/cfs-89cb8547-b95c-4bd5-89f8-c0f0929c5077-bzwg2                    0/3     Completed   0               3d21h   10.44.0.18    ncn-w003   <none>           <none>
services             pod/cfs-8bba5a9b-5982-4e87-8cfe-7ff077da74a1-2hfbf                    0/3     Completed   0               6m59s   10.41.0.98    ncn-w004   <none>           <none>
services             pod/cfs-abe3da23-b5f6-4dcd-9bf9-7f451c5743c3-69qrh                    0/4     Completed   0               13h     10.46.0.29    ncn-w005   <none>           <none>
