NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
kube-system          pod/node-problem-detector-rl8wz                                       1/1     Running     0               2d8h
kube-system          pod/node-problem-detector-rr54n                                       1/1     Running     0               2d10h
kube-system          pod/sealed-secrets-685b8dc459-krfwp                                   1/1     Running     0               2d10h
kube-system          pod/weave-net-7pbx9                                                   2/2     Running     1 (2d10h ago)   2d10h
kube-system          pod/weave-net-dgsml                                                   2/2     Running     0               2d8h
kube-system          pod/weave-net-f27f9                                                   2/2     Running     0               2d10h
kube-system          pod/weave-net-fcqnz                                                   2/2     Running     1 (2d6h ago)    2d6h
kube-system          pod/weave-net-ksz95                                                   2/2     Running     1 (10d ago)     10d
kube-system          pod/weave-net-sbv7r                                                   2/2     Running     0               2d11h
kube-system          pod/weave-net-spkgb                                                   2/2     Running     1 (2d6h ago)    2d6h
kube-system          pod/weave-net-zntch                                                   2/2     Running     0               2d11h
kyverno              pod/kyverno-admission-controller-5fb8868644-9qqqk                     1/1     Running     0               2d11h
kyverno              pod/kyverno-admission-controller-5fb8868644-q8hnb                     1/1     Running     0               2d10h
kyverno              pod/kyverno-admission-controller-5fb8868644-x7tvh                     1/1     Running     0               2d9h
kyverno              pod/kyverno-background-controller-5bb9c4566d-wspfz                    1/1     Running     0               2d10h
kyverno              pod/kyverno-cleanup-admission-reports-28846340-pxccn                  0/1     Completed   0               7m49s
kyverno              pod/kyverno-cleanup-cluster-admission-reports-28846340-8l55w          0/1     Completed   0               7m49s
kyverno              pod/kyverno-cleanup-controller-5569cb8948-khpsq                       1/1     Running     2 (2d6h ago)    2d11h
kyverno              pod/kyverno-reports-controller-599f875b5b-nlwvv                       1/1     Running     2 (2d6h ago)    2d9h
metallb-system       pod/metallb-controller-564f6966f-c6vsj                                1/1     Running     0               2d10h
metallb-system       pod/metallb-speaker-95n2g                                             1/1     Running     0               2d10h
metallb-system       pod/metallb-speaker-c2vx4                                             1/1     Running     0               2d11h
metallb-system       pod/metallb-speaker-cdcdv                                             1/1     Running     0               2d10h
metallb-system       pod/metallb-speaker-fq8mh                                             1/1     Running     0               2d6h
metallb-system       pod/metallb-speaker-mlqr4                                             1/1     Running     0               2d6h
metallb-system       pod/metallb-speaker-nk44l                                             1/1     Running     0               10d
metallb-system       pod/metallb-speaker-w26mm                                             1/1     Running     0               2d8h
metallb-system       pod/metallb-speaker-z6gcb                                             1/1     Running     0               2d11h
nexus                pod/cray-precache-images-8hdmn                                        1/1     Running     0               2d11h
nexus                pod/cray-precache-images-9xddc                                        1/1     Running     0               2d11h
nexus                pod/cray-precache-images-gqndd                                        1/1     Running     0               2d10h
nexus                pod/cray-precache-images-jxv9h                                        1/1     Running     0               2d10h
nexus                pod/cray-precache-images-s7v26                                        1/1     Running     0               2d8h
nexus                pod/nexus-84f59cbb6-2wclr                                             2/2     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-8pw9f                                     1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-9qs2m                                     1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-customer-admin-bmrht                      1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-customer-admin-d8wrn                      1/1     Running     0               2d8h
opa                  pod/cray-opa-ingressgateway-customer-admin-ggrcp                      1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-customer-admin-jcp2r                      1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-customer-admin-p6psv                      1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-customer-user-768w7                       1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-customer-user-9b4vb                       1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-customer-user-cg8rh                       1/1     Running     0               2d8h
opa                  pod/cray-opa-ingressgateway-customer-user-glbm7                       1/1     Running     0               2d11h
opa                  pod/cray-opa-ingressgateway-customer-user-rs9m5                       1/1     Running     0               2d10h
opa                  pod/cray-opa-ingressgateway-g9wjv                                     1/1     Running     0               2d11h
