NAMESPACE            NAME                                                              READY   STATUS      RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
kube-system          weave-net-dgsml                                                   2/2     Running     3 (16h ago)     4d9h    10.252.1.14   ncn-w005   <none>           <none>
kube-system          weave-net-f27f9                                                   2/2     Running     0               4d10h   10.252.1.13   ncn-w004   <none>           <none>
kube-system          weave-net-fcqnz                                                   2/2     Running     1 (4d7h ago)    4d7h    10.252.1.11   ncn-m002   <none>           <none>
kube-system          weave-net-ksz95                                                   2/2     Running     1 (12d ago)     12d     10.252.1.12   ncn-m001   <none>           <none>
kube-system          weave-net-sbv7r                                                   2/2     Running     3 (22h ago)     4d11h   10.252.1.8    ncn-w002   <none>           <none>
kube-system          weave-net-spkgb                                                   2/2     Running     3 (10h ago)     4d7h    10.252.1.10   ncn-m003   <none>           <none>
kube-system          weave-net-zntch                                                   2/2     Running     3 (45h ago)     4d12h   10.252.1.9    ncn-w001   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-9plms                     1/1     Running     0               16h     10.34.0.27    ncn-w002   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-q8hnb                     1/1     Running     0               4d10h   10.44.0.26    ncn-w003   <none>           <none>
kyverno              kyverno-admission-controller-5fb8868644-x7tvh                     1/1     Running     0               4d10h   10.41.0.23    ncn-w004   <none>           <none>
kyverno              kyverno-background-controller-5bb9c4566d-wspfz                    1/1     Running     0               4d10h   10.44.0.28    ncn-w003   <none>           <none>
kyverno              kyverno-cleanup-admission-reports-28849250-vh9lf                  0/1     Completed   0               6m56s   10.46.0.14    ncn-w005   <none>           <none>
kyverno              kyverno-cleanup-cluster-admission-reports-28849250-hkbn9          0/1     Completed   0               6m56s   10.46.0.13    ncn-w005   <none>           <none>
kyverno              kyverno-cleanup-controller-5569cb8948-xfbc9                       1/1     Running     0               16h     10.34.0.24    ncn-w002   <none>           <none>
kyverno              kyverno-reports-controller-599f875b5b-nlwvv                       1/1     Running     2 (4d7h ago)    4d10h   10.41.0.24    ncn-w004   <none>           <none>
metallb-system       metallb-controller-564f6966f-wtbgq                                1/1     Running     0               23h     10.41.0.99    ncn-w004   <none>           <none>
metallb-system       metallb-speaker-6w8t4                                             1/1     Running     0               16h     10.252.1.14   ncn-w005   <none>           <none>
metallb-system       metallb-speaker-95n2g                                             1/1     Running     0               4d11h   10.252.1.7    ncn-w003   <none>           <none>
metallb-system       metallb-speaker-c2vx4                                             1/1     Running     2 (22h ago)     4d11h   10.252.1.8    ncn-w002   <none>           <none>
