Timestamp: 2024-11-06 06:06:12
argo                 pod/cray-iuf-metacontroller-helm-1                                    2/2     Terminating   1 (3d12h ago)   3d12h   10.35.0.21    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-grafana-7476fd6654-s6gbl                      3/3     Terminating   0               3d12h   10.35.0.72    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-logstash-exporter-85bc88574b-8qwr6            1/1     Terminating   0               3d12h   10.35.0.78    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-node-exporter-iscsi-hv2z4                     1/1     Running       0               3d12h   10.35.0.13    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-node-exporter-smartmon-kthlq                  1/1     Running       0               3d12h   10.35.0.11    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-prometheus-node-exporter-zq9vs                1/1     Running       0               3d12h   10.252.1.8    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-redfish-exporter-c4df695db-gdgbx              1/1     Terminating   0               3d12h   10.35.0.50    ncn-w002   <none>           <none>
sysmgmt-health       pod/cray-sysmgmt-health-victoria-metrics-operator-59c8875866-jwwng    1/1     Terminating   2 (3d8h ago)    3d12h   10.35.0.76    ncn-w002   <none>           <none>
sysmgmt-health       pod/vmagent-vms-0-5877fbd5c4-r4gkm                                    2/2     Terminating   0               3d12h   10.35.0.45    ncn-w002   <none>           <none>
sysmgmt-health       pod/vminsert-vms-cd9d4f894-6jppr                                      1/1     Terminating   0               3d12h   10.35.0.47    ncn-w002   <none>           <none>
sysmgmt-health       pod/vmselect-vms-0                                                    1/1     Terminating   0               3d12h   10.35.0.92    ncn-w002   <none>           <none>
sysmgmt-health       pod/vmstorage-vms-0                                                   1/1     Terminating   0               3d12h   10.35.0.93    ncn-w002   <none>           <none>
vault                pod/cray-vault-1                                                      5/5     Terminating   0               3d12h   10.35.0.53    ncn-w002   <none>           <none>
vault                pod/cray-vault-configurer-7b6f84b7df-mvg24                            2/2     Terminating   0               3d12h   10.35.0.84    ncn-w002   <none>           <none>
vault                pod/cray-vault-operator-57cc597f8d-fntrq                              2/2     Terminating   2 (3d8h ago)    3d12h   10.35.0.42    ncn-w002   <none>           <none>
velero               pod/restic-z7ksk                                                      1/1     Running       0               3d12h   10.35.0.2     ncn-w002   <none>           <none>
